;office_name;county_id;candidate_name;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote
1;COUNTY COMMISSIONER DISTRICT 2;1;DALE K LUECK                                   ;NP;60;61;1001;47.08
2;COUNTY COMMISSIONER DISTRICT 2;1;DICK SIEMERS                                   ;NP;60;61;1119;52.63
3;COUNTY COMMISSIONER DISTRICT 2;1;WRITE IN                                       ;WI;60;61;6;0.28
4;COUNTY COMMISSIONER DISTRICT 4;1;DARRELL E BRUGGMAN                             ;NP;60;61;985;58.39
5;COUNTY COMMISSIONER DISTRICT 4;1;WILLIAM M COOK                                 ;NP;60;61;700;41.49
6;COUNTY COMMISSIONER DISTRICT 4;1;WRITE IN                                       ;WI;60;61;2;0.12
7;SOIL AND WATER SUPERVISOR DISTRICT 3;1;FRANKLIN TURNOCK                               ;NP;60;61;6153;99.43
8;SOIL AND WATER SUPERVISOR DISTRICT 3;1;WRITE IN                                       ;WI;60;61;35;0.57
9;SOIL AND WATER SUPERVISOR DISTRICT 4;1;WILLIAM SEXTEN                                 ;NP;60;61;1898;26.9
10;SOIL AND WATER SUPERVISOR DISTRICT 4;1;BOB JANZEN                                     ;NP;60;61;5151;73
11;SOIL AND WATER SUPERVISOR DISTRICT 4;1;WRITE IN                                       ;WI;60;61;7;0.1
12;SOIL AND WATER SUPERVISOR DISTRICT 5;1;DONNA RAE ASP                                  ;NP;60;61;5800;99.69
13;SOIL AND WATER SUPERVISOR DISTRICT 5;1;WRITE IN                                       ;WI;60;61;18;0.31
14;COUNTY COMMISSIONER DISTRICT 3;2;ROBERT MANNING                                 ;NP;120;120;5853;32.45
15;COUNTY COMMISSIONER DISTRICT 3;2;MARGARET LANGFELD                              ;NP;120;120;12105;67.11
16;COUNTY COMMISSIONER DISTRICT 3;2;WRITE IN                                       ;WI;120;120;80;0.44
17;COUNTY COMMISSIONER DISTRICT 4;2;JIM A KORDIAK                                  ;NP;120;120;14117;98.34
18;COUNTY COMMISSIONER DISTRICT 4;2;WRITE IN                                       ;WI;120;120;238;1.66
19;COUNTY COMMISSIONER DISTRICT 5;2;DAVID S. "DAVE" MCCAULEY                       ;NP;120;120;15718;98.42
20;COUNTY COMMISSIONER DISTRICT 5;2;WRITE IN                                       ;WI;120;120;252;1.58
21;COUNTY COMMISSIONER DISTRICT 7;2;DAN ERHART                                     ;NP;120;120;14033;98.22
22;COUNTY COMMISSIONER DISTRICT 7;2;WRITE IN                                       ;WI;120;120;255;1.78
23;SOIL AND WATER SUPERVISOR DISTRICT 1;2;SEAN M. SULLIVAN                               ;NP;120;120;100713;98.84
24;SOIL AND WATER SUPERVISOR DISTRICT 1;2;WRITE IN                                       ;WI;120;120;1185;1.16
25;SOIL AND WATER SUPERVISOR DISTRICT 2;2;KIM KOVICH                                     ;NP;120;120;100185;99
26;SOIL AND WATER SUPERVISOR DISTRICT 2;2;WRITE IN                                       ;WI;120;120;1013;1
27;SOIL AND WATER SUPERVISOR DISTRICT 5;2;VICI L. NASS                                   ;NP;120;120;98528;99.01
28;SOIL AND WATER SUPERVISOR DISTRICT 5;2;WRITE IN                                       ;WI;120;120;990;0.99
29;COUNTY COMMISSIONER DISTRICT 1;3;THOMAS P. HOLWEGER                             ;NP;46;46;1268;45.37
30;COUNTY COMMISSIONER DISTRICT 1;3;CAROLYN ENGEBRETSON                            ;NP;46;46;1523;54.49
31;COUNTY COMMISSIONER DISTRICT 1;3;WRITE IN                                       ;WI;46;46;4;0.14
32;COUNTY COMMISSIONER DISTRICT 3;3;HARRY SALMINEN                                 ;NP;46;46;1434;48.68
33;COUNTY COMMISSIONER DISTRICT 3;3;RICHARD JOHANNSEN                              ;NP;46;46;1506;51.12
34;COUNTY COMMISSIONER DISTRICT 3;3;WRITE IN                                       ;WI;46;46;6;0.2
35;COUNTY COMMISSIONER DISTRICT 5;3;ROGER WINTER                                   ;NP;46;46;1296;51.78
36;COUNTY COMMISSIONER DISTRICT 5;3;MARJ JOHNSON                                   ;NP;46;46;1201;47.98
37;COUNTY COMMISSIONER DISTRICT 5;3;WRITE IN                                       ;WI;46;46;6;0.24
38;SOIL AND WATER SUPERVISOR DISTRICT 2;3;RUSSELL OKESON                                 ;NP;46;46;12077;99.48
39;SOIL AND WATER SUPERVISOR DISTRICT 2;3;WRITE IN                                       ;WI;46;46;63;0.52
40;SOIL AND WATER SUPERVISOR DISTRICT 3;3;DUANE GROSSMAN                                 ;NP;46;46;11753;99.59
41;SOIL AND WATER SUPERVISOR DISTRICT 3;3;WRITE IN                                       ;WI;46;46;48;0.41
42;SOIL AND WATER SUPERVISOR DISTRICT 5;3;DALE LUBITZ                                    ;NP;46;46;11677;99.6
43;SOIL AND WATER SUPERVISOR DISTRICT 5;3;WRITE IN                                       ;WI;46;46;47;0.4
44;COUNTY COMMISSIONER DISTRICT 2;4;VICKI HAUGEN                                   ;NP;62;62;1456;60.44
45;COUNTY COMMISSIONER DISTRICT 2;4;JOHN R O'BOYLE                                 ;NP;62;62;936;38.85
46;COUNTY COMMISSIONER DISTRICT 2;4;WRITE IN                                       ;WI;62;62;17;0.71
47;COUNTY COMMISSIONER DISTRICT 4;4;LINDA BEDEAU                                   ;NP;62;62;963;36.63
48;COUNTY COMMISSIONER DISTRICT 4;4;QUENTIN G FAIRBANKS                            ;NP;62;62;1491;56.71
49;COUNTY COMMISSIONER DISTRICT 4;4;WRITE IN                                       ;WI;62;62;175;6.66
50;SOIL AND WATER SUPERVISOR DISTRICT 1;4;MILTON ANDERSON                                ;NP;62;62;133;100
51;SOIL AND WATER SUPERVISOR DISTRICT 1;4;WRITE IN                                       ;WI;62;62;0;0
52;SOIL AND WATER SUPERVISOR DISTRICT 2;4;GRANT SATRE                                    ;NP;62;62;134;100
53;SOIL AND WATER SUPERVISOR DISTRICT 2;4;WRITE IN                                       ;WI;62;62;0;0
54;SOIL AND WATER SUPERVISOR DISTRICT 4;4;ORVIS BYKLUM                                   ;NP;62;62;138;97.87
55;SOIL AND WATER SUPERVISOR DISTRICT 4;4;WRITE IN                                       ;WI;62;62;3;2.13
56;COUNTY COMMISSIONER DISTRICT 1;5;DUANE J WALTER                                 ;NP;29;30;1898;68.27
57;COUNTY COMMISSIONER DISTRICT 1;5;PAT BEMIS EBENSTEINER                          ;NP;29;30;873;31.4
58;COUNTY COMMISSIONER DISTRICT 1;5;WRITE IN                                       ;WI;29;30;9;0.32
59;COUNTY COMMISSIONER DISTRICT 4;5;RICHARD "DICK" SOYKA                           ;NP;29;30;1305;50.27
60;COUNTY COMMISSIONER DISTRICT 4;5;SPENCER C BUERKLE                              ;NP;29;30;1286;49.54
61;COUNTY COMMISSIONER DISTRICT 4;5;WRITE IN                                       ;WI;29;30;5;0.19
62;COUNTY COMMISSIONER DISTRICT 5;5;MARK HETCHLER                                  ;NP;29;30;796;35.25
63;COUNTY COMMISSIONER DISTRICT 5;5;EARL (BUTCH) BUKOWSKI                          ;NP;29;30;1454;64.39
64;COUNTY COMMISSIONER DISTRICT 5;5;WRITE IN                                       ;WI;29;30;8;0.35
65;SOIL AND WATER SUPERVISOR DISTRICT 1;5;WADE D BASTIAN                                 ;NP;29;30;11773;99.42
66;SOIL AND WATER SUPERVISOR DISTRICT 1;5;WRITE IN                                       ;WI;29;30;69;0.58
67;SOIL AND WATER SUPERVISOR DISTRICT 4;5;DUANE R BRENNY                                 ;NP;29;30;11992;99.55
68;SOIL AND WATER SUPERVISOR DISTRICT 4;5;WRITE IN                                       ;WI;29;30;54;0.45
69;SOIL AND WATER SUPERVISOR DISTRICT 5;5;RODNEY BEMBOOM                                 ;NP;29;30;11904;99.51
70;SOIL AND WATER SUPERVISOR DISTRICT 5;5;WRITE IN                                       ;WI;29;30;59;0.49
71;COUNTY COMMISSIONER DISTRICT 1;6;RICHARD LANE                                   ;NP;23;23;460;92.93
72;COUNTY COMMISSIONER DISTRICT 1;6;WRITE IN                                       ;WI;23;23;35;7.07
73;COUNTY COMMISSIONER DISTRICT 3;6;DAVID TORGERSON                                ;NP;23;23;324;53.29
74;COUNTY COMMISSIONER DISTRICT 3;6;DONALD KARSKY                                  ;NP;23;23;281;46.22
75;COUNTY COMMISSIONER DISTRICT 3;6;WRITE IN                                       ;WI;23;23;3;0.49
76;COUNTY COMMISSIONER DISTRICT 5;6;ALVIN MAAS                                     ;NP;23;23;505;98.06
77;COUNTY COMMISSIONER DISTRICT 5;6;WRITE IN                                       ;WI;23;23;10;1.94
78;SOIL AND WATER SUPERVISOR DISTRICT 1;6;WRITE IN                                       ;WI;23;23;44;100
79;SOIL AND WATER SUPERVISOR DISTRICT 2;6;ED HOLKER                                      ;NP;23;23;2414;99.75
80;SOIL AND WATER SUPERVISOR DISTRICT 2;6;WRITE IN                                       ;WI;23;23;6;0.25
81;SOIL AND WATER SUPERVISOR DISTRICT 3;6;WRITE IN                                       ;WI;23;23;42;100
82;SOIL AND WATER SUPERVISOR DISTRICT 4;6;IRVIN ADELMAN                                  ;NP;23;23;2330;99.83
83;SOIL AND WATER SUPERVISOR DISTRICT 4;6;WRITE IN                                       ;WI;23;23;4;0.17
84;COUNTY COMMISSIONER DISTRICT 3;7;ANDREW JOHNSON                                 ;NP;53;54;2705;64.11
85;COUNTY COMMISSIONER DISTRICT 3;7;DOUGLAS J. (DOUG) SCHALLER                     ;NP;53;54;1456;34.51
86;COUNTY COMMISSIONER DISTRICT 3;7;WRITE IN                                       ;WI;53;54;58;1.37
87;COUNTY COMMISSIONER DISTRICT 5;7;KIP E. BRUENDER                                ;NP;53;54;2724;48.73
88;COUNTY COMMISSIONER DISTRICT 5;7;ALVIS MORE                                     ;NP;53;54;2854;51.06
89;COUNTY COMMISSIONER DISTRICT 5;7;WRITE IN                                       ;WI;53;54;12;0.21
90;SOIL AND WATER SUPERVISOR DISTRICT 1;7;KEVIN SARGENT                                  ;NP;53;54;5639;26.54
91;SOIL AND WATER SUPERVISOR DISTRICT 1;7;GORDON H. HERBST                               ;NP;53;54;4683;22.04
92;SOIL AND WATER SUPERVISOR DISTRICT 1;7;MONROE "MONTY" PURRIER                         ;NP;53;54;4831;22.74
93;SOIL AND WATER SUPERVISOR DISTRICT 1;7;HAROLD LOEFFLER                                ;NP;53;54;5932;27.92
94;SOIL AND WATER SUPERVISOR DISTRICT 1;7;WRITE IN                                       ;WI;53;54;159;0.75
95;SOIL AND WATER SUPERVISOR DISTRICT 2;7;JULIE BACH                                     ;NP;53;54;19983;99.09
96;SOIL AND WATER SUPERVISOR DISTRICT 2;7;WRITE IN                                       ;WI;53;54;183;0.91
97;SOIL AND WATER SUPERVISOR DISTRICT 3;7;LEAH M FRANK                                   ;NP;53;54;7930;38.81
