state;county_id;precinct_name;office_id;office_name;district;candidate_order_code;candidate_name;suffix;incumbent_code;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote;total_race_votes
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;MIKE MUELLER                                   ;NA;NA;NP;47;47;41;3.71;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;TOM BURMAN                                     ;NA;NA;NP;47;47;99;8.95;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;DALE K LUECK                                   ;NA;NA;NP;47;47;229;20.71;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;JON OLSON                                      ;NA;NA;NP;47;47;117;10.58;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;DICK SIEMERS                                   ;NA;NA;NP;47;47;394;35.62;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;WAYNE A BARNEVELD                              ;NA;NA;NP;47;47;226;20.43;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;DARRELL E BRUGGMAN                             ;NA;NA;NP;47;47;406;59.53;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;KERRY "RED" BOYER                              ;NA;NA;NP;47;47;127;18.62;NA
MN;01;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;WILLIAM M COOK                                 ;NA;NA;NP;47;47;149;21.85;NA
MN;03;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;PAUL (STEVE) NILSON                            ;NA;NA;NP;47;47;394;26.68;NA
MN;03;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;THOMAS P. HOLWEGER                             ;NA;NA;NP;47;47;464;31.42;NA
MN;03;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;CAROLYN ENGEBRETSON                            ;NA;NA;NP;47;47;619;41.91;NA
MN;03;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;HARRY SALMINEN                                 ;NA;NA;NP;47;47;437;36.51;NA
MN;03;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;RICHARD JOHANNSEN                              ;NA;NA;NP;47;47;562;46.95;NA
MN;03;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;BOBBY L. CATES                                 ;NA;NA;NP;47;47;198;16.54;NA
MN;04;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;MICHELLE TRAEGER-NELSON                        ;NA;NA;NP;61;61;62;9.49;NA
MN;04;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;BETTY R CARLSON                                ;NA;NA;NP;61;61;81;12.4;NA
