;office_name;county_id;candidate_name;party_affiliation;num_precincts_reporting;total_num_precincts_voting;candidate_votes;candidate_percent_vote
1;COUNTY COMMISSIONER DISTRICT 1;1;JON OLSON;NP;60;61;1017;62.97
2;COUNTY COMMISSIONER DISTRICT 1;1;MERLE "MURPH" PETERSON;NP;60;61;598;37.03
3;COUNTY COMMISSIONER DISTRICT 1;1;WRITE-IN (TOTAL);WI;60;61;0;0
4;COUNTY COMMISSIONER DISTRICT 2;1;DALE K LUECK;NP;60;61;1112;58.77
5;COUNTY COMMISSIONER DISTRICT 2;1;DICK SIEMERS;NP;60;61;777;41.07
6;COUNTY COMMISSIONER DISTRICT 2;1;WRITE-IN (TOTAL);WI;60;61;3;0.16
7;COUNTY COMMISSIONER DISTRICT 3;1;DONALD H. NIEMI;NP;60;61;520;37.6
8;COUNTY COMMISSIONER DISTRICT 3;1;PAUL BAILEY;NP;60;61;858;62.04
9;COUNTY COMMISSIONER DISTRICT 3;1;WRITE-IN (TOTAL);WI;60;61;5;0.36
10;COUNTY COMMISSIONER DISTRICT 5;1;MIKE MURPHY;NP;60;61;554;41.41
11;COUNTY COMMISSIONER DISTRICT 5;1;JONATHAN E. "REGGIE" LEE;NP;60;61;783;58.52
12;COUNTY COMMISSIONER DISTRICT 5;1;WRITE-IN (TOTAL);WI;60;61;1;0.07
13;COUNTY AUDITOR;1;KIRK PEYSAR;NP;60;61;6836;99.4
14;COUNTY AUDITOR;1;WRITE-IN (TOTAL);WI;60;61;41;0.6
15;COUNTY TREASURER;1;VERNON NELSON;NP;60;61;6888;99.34
16;COUNTY TREASURER;1;WRITE-IN (TOTAL);WI;60;61;46;0.66
17;COUNTY RECORDER;1;JUDY BLOMBERG;NP;60;61;3468;46.4
18;COUNTY RECORDER;1;DIANE M. LAFFERTY;NP;60;61;3996;53.47
19;COUNTY RECORDER;1;WRITE-IN (TOTAL);WI;60;61;10;0.13
20;COUNTY SHERIFF;1;TIM CATLIN;NP;60;61;3383;43.19
21;COUNTY SHERIFF;1;DENNIS J. LANDBORG;NP;60;61;4433;56.6
22;COUNTY SHERIFF;1;WRITE-IN (TOTAL);WI;60;61;16;0.2
23;COUNTY ATTORNEY;1;TOM MURTHA;NP;60;61;4895;66.34
24;COUNTY ATTORNEY;1;BRADLEY C. RHODES;NP;60;61;2478;33.58
25;COUNTY ATTORNEY;1;WRITE-IN (TOTAL);WI;60;61;6;0.08
26;SOIL AND WATER SUPERVISOR DISTRICT 1;1;DONALD H. KITZROW;NP;60;61;2378;37.4
27;SOIL AND WATER SUPERVISOR DISTRICT 1;1;MICHAEL LENTZ;NP;60;61;3957;62.24
28;SOIL AND WATER SUPERVISOR DISTRICT 1;1;WRITE-IN (TOTAL);WI;60;61;23;0.36
29;SOIL AND WATER SUPERVISOR DISTRICT 2;1;RUSSELL RUUD;NP;60;61;6301;99.67
30;SOIL AND WATER SUPERVISOR DISTRICT 2;1;WRITE-IN (TOTAL);WI;60;61;21;0.33
31;COUNTY COMMISSIONER DISTRICT 1;2;DENNIS D. BERG;NP;120;120;11694;74.06
32;COUNTY COMMISSIONER DISTRICT 1;2;CRAIG R. HAGGEN;NP;120;120;4034;25.55
33;COUNTY COMMISSIONER DISTRICT 1;2;WRITE-IN (TOTAL);WI;120;120;61;0.39
34;COUNTY COMMISSIONER DISTRICT 2;2;JOLYNN "JOEY"  ERIKSON;NP;120;120;6570;36.29
35;COUNTY COMMISSIONER DISTRICT 2;2;DICK LANG;NP;120;120;11487;63.46
36;COUNTY COMMISSIONER DISTRICT 2;2;WRITE-IN (TOTAL);WI;120;120;45;0.25
37;COUNTY COMMISSIONER DISTRICT 3;2;MARGARET LANGFELD;NP;120;120;10069;61.63
38;COUNTY COMMISSIONER DISTRICT 3;2;MARK D. JOHNSON;NP;120;120;6201;37.95
39;COUNTY COMMISSIONER DISTRICT 3;2;WRITE-IN (TOTAL);WI;120;120;69;0.42
40;COUNTY COMMISSIONER DISTRICT 4;2;JIM A. KORDIAK;NP;120;120;13470;77.52
41;COUNTY COMMISSIONER DISTRICT 4;2;GARY MCLAIN;NP;120;120;3837;22.08
42;COUNTY COMMISSIONER DISTRICT 4;2;WRITE-IN (TOTAL);WI;120;120;70;0.4
43;COUNTY COMMISSIONER DISTRICT 6;2;DICK SWANSON;NP;120;120;7389;45.54
44;COUNTY COMMISSIONER DISTRICT 6;2;RHONDA SIVARAJAH;NP;120;120;8680;53.5
45;COUNTY COMMISSIONER DISTRICT 6;2;WRITE-IN (TOTAL);WI;120;120;156;0.96
46;COUNTY SHERIFF;2;DAVE PECCHIA;NP;120;120;57167;47.16
47;COUNTY SHERIFF;2;BRUCE ANDERSOHN;NP;120;120;63691;52.54
48;COUNTY SHERIFF;2;WRITE-IN (TOTAL);WI;120;120;367;0.3
49;COUNTY ATTORNEY;2;WILLIAM J. MARSHALL;NP;120;120;48585;46.45
50;COUNTY ATTORNEY;2;ROBERT M A JOHNSON;NP;120;120;55518;53.08
51;COUNTY ATTORNEY;2;WRITE-IN (TOTAL);WI;120;120;484;0.46
52;SOIL AND WATER SUPERVISOR DISTRICT 3;2;ERNEST LARSEN;NP;120;120;95058;98.86
53;SOIL AND WATER SUPERVISOR DISTRICT 3;2;WRITE-IN (TOTAL);WI;120;120;1098;1.14
54;SOIL AND WATER SUPERVISOR DISTRICT 4;2;RANDALL J. ANHORN;NP;120;120;40958;40.56
55;SOIL AND WATER SUPERVISOR DISTRICT 4;2;MARY JO TRUCHON;NP;120;120;59510;58.93
56;SOIL AND WATER SUPERVISOR DISTRICT 4;2;WRITE-IN (TOTAL);WI;120;120;523;0.52
57;COUNTY COMMISSIONER DISTRICT 1;3;CAROLYN ENGEBRETSON;NP;46;46;1447;55.7
58;COUNTY COMMISSIONER DISTRICT 1;3;LESTER C. RISTINEN;NP;46;46;1134;43.65
59;COUNTY COMMISSIONER DISTRICT 1;3;WRITE-IN (TOTAL);WI;46;46;17;0.65
60;COUNTY COMMISSIONER DISTRICT 2;3;VERN M. SEAL;NP;46;46;1214;39.65
61;COUNTY COMMISSIONER DISTRICT 2;3;HARRY SALMINEN;NP;46;46;1433;46.8
62;COUNTY COMMISSIONER DISTRICT 2;3;WRITE-IN (TOTAL);WI;46;46;415;13.55
63;COUNTY COMMISSIONER DISTRICT 3;3;DAVE SEABERG;NP;46;46;1332;56.78
64;COUNTY COMMISSIONER DISTRICT 3;3;THOMAS (TOM) HOLWEGER;NP;46;46;990;42.2
65;COUNTY COMMISSIONER DISTRICT 3;3;WRITE-IN (TOTAL);WI;46;46;24;1.02
66;COUNTY COMMISSIONER DISTRICT 4;3;JOHN H. MURRAY;NP;46;46;671;30.72
67;COUNTY COMMISSIONER DISTRICT 4;3;BOB BRISTLIN;NP;46;46;1482;67.86
68;COUNTY COMMISSIONER DISTRICT 4;3;WRITE-IN (TOTAL);WI;46;46;31;1.42
69;COUNTY COMMISSIONER DISTRICT 5;3;ROGER WINTER;NP;46;46;2229;92.91
70;COUNTY COMMISSIONER DISTRICT 5;3;WRITE-IN (TOTAL);WI;46;46;170;7.09
71;COUNTY AUDITOR;3;KEITH G. BREKKEN;NP;46;46;6955;55.29
72;COUNTY AUDITOR;3;PAT SAUER;NP;46;46;5595;44.48
73;COUNTY AUDITOR;3;WRITE-IN (TOTAL);WI;46;46;29;0.23
74;COUNTY TREASURER;3;RYAN L. TANGEN;NP;46;46;11340;99.59
75;COUNTY TREASURER;3;WRITE-IN (TOTAL);WI;46;46;47;0.41
76;COUNTY RECORDER;3;DARLENE MANEVAL;NP;46;46;11306;99.61
77;COUNTY RECORDER;3;WRITE-IN (TOTAL);WI;46;46;44;0.39
78;COUNTY SHERIFF;3;WARREN RETHWISCH;NP;46;46;5618;43.25
79;COUNTY SHERIFF;3;TIM GORDON;NP;46;46;7350;56.58
80;COUNTY SHERIFF;3;WRITE-IN (TOTAL);WI;46;46;22;0.17
81;COUNTY ATTORNEY;3;JOE EVANS;NP;46;46;11435;98.69
